,Ti47_MT102,Ti48_MT102,Ti49_MT102
0,0.26519775390625,0.18560791015625,0.73785400390625
1,0.76519775390625,0.68560791015625,0.23785400390625
2,0.01519775390625,0.43560791015625,0.48785400390625
3,0.51519775390625,0.93560791015625,0.98785400390625
4,0.39019775390625,0.31060791015625,0.11285400390625
5,0.89019775390625,0.81060791015625,0.61285400390625
6,0.14019775390625,0.06060791015625,0.86285400390625
7,0.64019775390625,0.56060791015625,0.36285400390625
8,0.95269775390625,0.12310791015625,0.42535400390625
9,0.45269775390625,0.62310791015625,0.92535400390625
10,0.70269775390625,0.37310791015625,0.67535400390625
11,0.20269775390625,0.87310791015625,0.17535400390625
12,0.82769775390625,0.49810791015625,0.80035400390625
13,0.32769775390625,0.99810791015625,0.30035400390625
14,0.57769775390625,0.24810791015625,0.05035400390625
15,0.07769775390625,0.74810791015625,0.55035400390625
16,0.40582275390625,0.76373291015625,0.44097900390625
17,0.90582275390625,0.26373291015625,0.94097900390625
18,0.15582275390625,0.51373291015625,0.69097900390625
19,0.65582275390625,0.01373291015625,0.19097900390625
20,0.28082275390625,0.63873291015625,0.81597900390625
21,0.78082275390625,0.13873291015625,0.31597900390625
22,0.03082275390625,0.88873291015625,0.06597900390625
23,0.53082275390625,0.38873291015625,0.56597900390625
24,0.84332275390625,0.95123291015625,0.62847900390625
25,0.34332275390625,0.45123291015625,0.12847900390625
26,0.59332275390625,0.70123291015625,0.37847900390625
27,0.09332275390625,0.20123291015625,0.87847900390625
28,0.96832275390625,0.57623291015625,0.00347900390625
29,0.46832275390625,0.07623291015625,0.50347900390625
30,0.71832275390625,0.82623291015625,0.75347900390625
31,0.21832275390625,0.32623291015625,0.25347900390625
32,0.62457275390625,0.04498291015625,0.15972900390625
33,0.12457275390625,0.54498291015625,0.65972900390625
34,0.87457275390625,0.29498291015625,0.90972900390625
35,0.37457275390625,0.79498291015625,0.40972900390625
36,0.74957275390625,0.41998291015625,0.53472900390625
37,0.24957275390625,0.91998291015625,0.03472900390625
38,0.99957275390625,0.16998291015625,0.28472900390625
39,0.49957275390625,0.66998291015625,0.78472900390625
40,0.18707275390625,0.23248291015625,0.97222900390625
41,0.68707275390625,0.73248291015625,0.47222900390625
42,0.43707275390625,0.48248291015625,0.22222900390625
43,0.93707275390625,0.98248291015625,0.72222900390625
44,0.06207275390625,0.35748291015625,0.34722900390625
45,0.56207275390625,0.85748291015625,0.84722900390625
46,0.31207275390625,0.10748291015625,0.59722900390625
47,0.81207275390625,0.60748291015625,0.09722900390625
48,0.75738525390625,0.69342041015625,0.85504150390625
49,0.25738525390625,0.19342041015625,0.35504150390625
50,0.50738525390625,0.94342041015625,0.10504150390625
51,0.00738525390625,0.44342041015625,0.60504150390625
52,0.88238525390625,0.81842041015625,0.48004150390625
53,0.38238525390625,0.31842041015625,0.98004150390625
54,0.63238525390625,0.56842041015625,0.73004150390625
55,0.13238525390625,0.06842041015625,0.23004150390625
56,0.44488525390625,0.50592041015625,0.04254150390625
57,0.94488525390625,0.00592041015625,0.54254150390625
58,0.19488525390625,0.75592041015625,0.79254150390625
59,0.69488525390625,0.25592041015625,0.29254150390625
60,0.31988525390625,0.88092041015625,0.66754150390625
61,0.81988525390625,0.38092041015625,0.16754150390625
62,0.06988525390625,0.63092041015625,0.41754150390625
63,0.56988525390625,0.13092041015625,0.91754150390625
64,0.22613525390625,0.47467041015625,0.51129150390625
65,0.72613525390625,0.97467041015625,0.01129150390625
66,0.47613525390625,0.22467041015625,0.26129150390625
67,0.97613525390625,0.72467041015625,0.76129150390625
68,0.10113525390625,0.09967041015625,0.13629150390625
69,0.60113525390625,0.59967041015625,0.63629150390625
70,0.35113525390625,0.34967041015625,0.88629150390625
71,0.85113525390625,0.84967041015625,0.38629150390625
72,0.53863525390625,0.28717041015625,0.32379150390625
73,0.03863525390625,0.78717041015625,0.82379150390625
74,0.78863525390625,0.03717041015625,0.57379150390625
75,0.28863525390625,0.53717041015625,0.07379150390625
76,0.66363525390625,0.16217041015625,0.94879150390625
77,0.16363525390625,0.66217041015625,0.44879150390625
78,0.91363525390625,0.41217041015625,0.19879150390625
79,0.41363525390625,0.91217041015625,0.69879150390625
80,0.11676025390625,0.58404541015625,0.30816650390625
81,0.61676025390625,0.08404541015625,0.80816650390625
82,0.36676025390625,0.83404541015625,0.55816650390625
83,0.86676025390625,0.33404541015625,0.05816650390625
84,0.24176025390625,0.95904541015625,0.93316650390625
85,0.74176025390625,0.45904541015625,0.43316650390625
86,0.49176025390625,0.70904541015625,0.18316650390625
87,0.99176025390625,0.20904541015625,0.68316650390625
88,0.67926025390625,0.64654541015625,0.62066650390625
89,0.17926025390625,0.14654541015625,0.12066650390625
90,0.92926025390625,0.89654541015625,0.37066650390625
91,0.42926025390625,0.39654541015625,0.87066650390625
92,0.55426025390625,0.77154541015625,0.24566650390625
93,0.05426025390625,0.27154541015625,0.74566650390625
94,0.80426025390625,0.52154541015625,0.99566650390625
95,0.30426025390625,0.02154541015625,0.49566650390625
96,0.89801025390625,0.36529541015625,0.08941650390625
97,0.39801025390625,0.86529541015625,0.58941650390625
98,0.64801025390625,0.11529541015625,0.83941650390625
99,0.14801025390625,0.61529541015625,0.33941650390625
100,0.77301025390625,0.24029541015625,0.71441650390625
101,0.27301025390625,0.74029541015625,0.21441650390625
102,0.52301025390625,0.49029541015625,0.46441650390625
103,0.02301025390625,0.99029541015625,0.96441650390625
104,0.33551025390625,0.42779541015625,0.77691650390625
105,0.83551025390625,0.92779541015625,0.27691650390625
106,0.08551025390625,0.17779541015625,0.02691650390625
107,0.58551025390625,0.67779541015625,0.52691650390625
108,0.46051025390625,0.05279541015625,0.40191650390625
109,0.96051025390625,0.55279541015625,0.90191650390625
110,0.21051025390625,0.30279541015625,0.65191650390625
111,0.71051025390625,0.80279541015625,0.15191650390625
112,0.15191650390625,0.11138916015625,0.03082275390625
